i356	00068180-s
i357	00068278-a
i358	00068566-a
i359	00068738-s
i360	00068883-s
i361	00069060-a
i362	00069217-a
i363	00069427-a
i364	00069531-a
i365	00069948-s
i366	00070111-s
i367	00070288-s
i368	00070427-s
i369	00070583-a
i370	00070839-s
i371	00070939-a
i372	00071142-s
i373	00071242-s
i374	00071427-s
i375	00071559-s
i376	00071739-s
i377	00071897-s
i378	00071992-a
i379	00072281-s
i380	00072436-s
i381	00072673-s
i382	00072790-s
i383	00073048-a
i384	00073358-s
i385	00073465-s
i386	00073761-s
i387	00073935-s
i388	00074094-s
i389	00074216-s
i390	00074346-a
i391	00074594-s
i392	00074741-s
i393	00074867-s
i394	00075019-s
i395	00075135-a
i396	00075389-s
i397	00075515-a
i398	00075737-s
i399	00075952-a
i400	00076127-s
i401	00076341-a
i402	00076580-s
i403	00076739-s
i404	00076921-a
i405	00077059-s
i406	00077196-s
i407	00077354-s
i408	00077449-a
i409	00077645-a
i410	00078329-s
i411	00078463-s
i412	00078576-s
i413	00078705-s
i414	00078851-s
i415	00078942-s
i416	00079069-s
i417	00079262-s
i418	00079356-s
i419	00079485-s
i420	00079629-s
i421	00079786-s
i422	00079896-s
i423	00080098-s
i424	00080213-s
i425	00080357-s
i426	00080698-s
i427	00080861-s
i428	00080981-s
i429	00081087-s
i430	00081234-s
i431	00081417-s
i432	00081513-s
i433	00081671-a
i434	00081930-s
i435	00082034-s
i436	00082160-s
i437	00082241-a
i438	00082766-s
i439	00083003-s
i440	00083296-s
i441	00083478-s
i442	00083749-s
i443	00083876-s
i444	00084022-s
i445	00084353-s
i446	00084661-s
i447	00084795-s
i448	00084956-a
i449	00085139-s
i450	00085264-a
i451	00085630-s
i452	00085870-s
i453	00086005-s
i454	00086210-s
i455	00086341-s
i456	00086606-s
i457	00086801-s
i458	00087022-s
i459	00087152-a
i460	00087354-a
i461	00087597-s
i462	00087837-s
i463	00088055-s
i464	00088157-s
i465	00088328-s
i466	00088545-s
i467	00088658-a
i468	00088792-s
i469	00088899-s
i470	00089051-a
i471	00089355-a
i472	00089550-s
i473	00090219-s
i474	00090408-s
i475	00090628-s
i476	00090718-a
i477	00090917-a
i478	00091121-a
i479	00091311-a
i480	00091764-s
i481	00092136-s
i482	00092275-s
i483	00092391-s
i484	00092551-a
i485	00092691-a
i486	00092848-s
i487	00092933-a
i488	00093108-s
i489	00093275-a
i490	00093433-s
i491	00093556-s
i492	00093810-a
i493	00094069-s
i494	00094239-s
i495	00094324-s
i496	00094448-a
i497	00094799-s
i498	00094941-s
i499	00095094-s
i500	00095280-a
i501	00095873-s
i502	00096072-s
i503	00096239-s
i504	00096414-s
i505	00096595-s
i506	00096815-s
i507	00096913-s
i508	00097022-s
i509	00097147-s
i510	00097305-s
i511	00097452-s
i512	00097577-s
i513	00097674-s
i514	00097768-s
i515	00097906-s
i516	00098043-s
i517	00098147-s
i518	00098307-s
i519	00098450-s
i520	00098529-a
i521	00098736-a
i522	00098933-a
i523	00099097-a
i524	00099290-a
i525	00099590-s
i526	00099704-s
i527	00099874-a
i528	00100213-s
i529	00100373-s
i530	00100506-s
i531	00100634-a
i532	00100881-s
i533	00100989-s
i534	00101152-a
i535	00101331-a
i536	00101452-a
i537	00101609-a
i538	00101800-a
i539	00102079-s
i540	00102201-a
i541	00102578-s
i542	00102786-s
i543	00102930-s
i544	00103196-s
i545	00103302-s
i546	00103447-s
i547	00103567-s
i548	00103696-a
i549	00103953-s
i550	00104051-a
i551	00104318-s
i552	00104533-s
i553	00104699-s
i554	00104825-s
i555	00104942-s
i556	00105023-a
i557	00105197-s
i558	00105388-a
i559	00105566-a
i560	00105746-a
i561	00106020-s
i562	00106182-s
i563	00106277-s
i564	00106456-a
i565	00106821-s
i566	00107017-s
i567	00107128-s
i568	00107250-s
i569	00107384-s
i570	00107648-a
i571	00107868-s
i572	00107984-a
i573	00108145-s
i574	00108263-a
i575	00108434-a
i576	00108595-a
i577	00108698-a
i578	00109016-a
i579	00109133-a
